OPEN,CLOSE,HIGH,LOW,VOLUME,QPL,QPL+,QPL-,MA5,MA21,MACD,RSI,BBup,BBlow,CCI,Stoch,ADX,ATR
99.34999999999999,96.79000000000001,99.59999999999999,96.39,7849,99.90747428811267,101.2152505677464,97.51912330043019,98.34400000000014,99.61809523809526,-0.5502122850246423,46.70223216702828,100.602850372369,94.57429248477415,-25.37381060263531,66.54676258992809,13.88203495832956,2.864166666666666
96.76000000000001,99.01000000000001,99.12,95.84999999999999,7221,97.30294123923284,98.5766245086577,94.97685325163188,98.85000000000014,99.79476190476193,-0.5285094103505799,52.62995112045601,100.8703023475711,94.66684050957205,69.2427790788382,62.25988700564968,15.55522844952477,2.873333333333334
94.95,95.91,96.83,92.92,11351,95.48278493866431,96.73264259091617,93.20020893181528,99.44800000000014,99.97333333333336,-0.7191576043433088,43.29800194428049,101.3705881160181,94.44369759826787,-75.923765071963,36.53727664818233,17.55002319817444,2.740833333333333
95.47,96.33,97.05,94.94,9169,96.00570277087184,97.26240535181428,93.71062608446977,99.77400000000014,99.83523809523811,-0.6363971886126905,44.39837129183918,101.3538219242201,94.78903521863732,-71.29186602871505,35.70478723404257,15.02636752786147,2.585833333333333
96.39,95.39,97.06,94.39,10566,96.93086508939287,98.19967792878788,94.61367181608925,99.52600000000014,99.73904761904764,-0.5642717534276045,41.29797211754188,101.4961576157631,95.09241381280862,-125.6696428571491,37.33681462140999,14.58317531749996,2.716666666666667
98.77,98,99.31,97.23999999999999,6789,99.32421978295811,100.624361334437,96.94981186093096,99.39800000000014,99.60000000000002,-0.3682967906506036,48.23214464224192,101.2652191821908,95.60620938923807,-23.31125827815234,33.02238805970157,14.07179969015974,2.585833333333335
97.67,97.86,98.23999999999999,96.77,7748,98.21804744559603,99.50370934022941,95.87008326877724,99.05800000000013,99.5152380952381,-0.3785498848421298,47.79555214530217,101.2611689497177,95.57025962171116,-36.34006697634955,21.03762827822127,14.10754279740089,2.622500000000001
96.77,96.16,98.73,95.56999999999999,8438,97.31299735139066,98.58681225405958,94.986668966106,98.74000000000014,99.36809523809524,-0.3718758358306786,42.30954650590871,102.2857705242573,95.21851519002867,-118.00000000001,8.35129310344826,14.68051455144184,2.777500000000002
97.34999999999999,96.54000000000001,97.79000000000001,95.73,7455,97.89625185654522,99.17770148736902,95.55598040560524,99.06400000000014,99.12238095238096,-0.1848573102076472,43.25298772515279,103.2388232339451,95.30403390891236,-119.0409026798412,10.34688995215305,15.34163580610447,2.925833333333336
99.73999999999999,96.31999999999999,100.77,96.17,9691,100.2996626622683,101.61257263842,97.90193616492107,100.1080000000001,98.98809523809526,0.01784425973605153,42.56447580056959,103.6555415331542,95.72588703827466,-160.1979498055967,13.09352517985606,13.7553588934788,2.900833333333335
99.91,99.31999999999999,100.65,98.56,5216,100.4706165689516,101.7857643102521,98.0688033109812,100.7000000000001,98.8614285714286,0.2987056197771523,50.29075738956376,103.4477193172895,96.45513782556795,-21.09181141439952,34.36018957345976,13.0023878578492,2.674166666666669
100.79,99.45,101.25,99.05,6064,101.3555544388412,102.6822859056181,98.93258618470419,101.2200000000001,98.90000000000002,0.3473874921237439,50.6607836619832,103.468587542912,96.28141245708828,-23.41721854305294,41.25364431486884,14.77102743407672,2.880000000000003
99.97,100.09,102.39,99.26000000000001,5069,100.5309532418986,101.8468907826634,98.12769759782594,101.3260000000001,99.05000000000003,0.3912339911243379,52.42408770926602,103.4714024319996,96.28859756800072,1.915951197462171,52.05479452054797,15.13625865799094,2.930000000000002
99.42,99.06999999999999,100.23,98.55,6431,99.97786707321754,101.2865647855596,97.58783330174909,100.7160000000001,98.9861904761905,0.3763437554323588,49.84036951355283,103.5624461028564,96.30898246857255,-33.34177856600604,60.59933407325195,14.87727295886484,2.896666666666668
100.07,99.31,100.71,98.90000000000001,6438,100.631514363477,101.9487682366823,98.22585474256719,100.2040000000001,98.9061904761905,0.4557188545246618,50.43884942385368,103.6588176183792,96.43832523876399,-25.61983471075057,53.1894934333959,15.8785696047696,2.946666666666668
98.75,100.95,101.89,98.55,5419,99.30410755864244,100.6039858436332,96.93018043198272,99.85200000000013,98.77809523809526,0.5259653431184859,54.59891584971167,103.7272607194529,96.54131070911885,35.85095669687004,48.39797639123105,18.31555109772367,3.040833333333334
98.06,98.20999999999999,99.20999999999999,97.41,7427,98.61023581975168,99.90103141090299,96.25289613326811,99.96000000000012,98.76571428571432,0.4409931835692475,47.93722563695619,103.6498408847284,96.51873054384338,-74.83341875961719,31.15141955835967,21.12745282036298,2.871666666666667
98.25,99.45,99.5,96.98999999999999,8594,98.80130195075058,100.0945985735388,96.43939470827648,100.3600000000001,98.79523809523813,0.6051051808926644,51.08727520659883,103.6287317502411,96.80555396404495,-34.21439060206411,23.30543933054399,19.50334014689989,2.82
97.8,97.37,99.65000000000001,95.70999999999999,9194,98.3487769036479,99.63615003045393,95.99768755694086,100.4700000000001,98.75714285714288,0.6795156912088487,45.51005448356729,103.9253723365931,96.07605623483583,-134.7158218126044,31.30081300813007,17.6293639852117,2.8325
102.47,97.72,102.65,97.70999999999999,7600,103.0449812813579,104.3938271331351,100.5816262163572,99.58000000000013,98.72000000000001,0.9763885143221103,46.33558020054488,103.9182722879965,96.09172771200386,-152.5323642970758,55.10304219823352,15.46708379864842,2.910833333333331
103.73,102.57,103.91,102.15,3831,104.3120514132454,105.6774830537729,101.8184062400969,98.93600000000013,98.69714285714288,1.305467811978332,60.44345274001459,103.9797020733371,95.95172649809183,108.2706766917197,79.99999999999994,14.74007124243222,2.638333333333331
