OPEN,CLOSE,HIGH,LOW,VOLUME,QPL,QPL+,QPL-,MA5,MA21,MACD,RSI,BBup,BBlow,CCI,Stoch,ADX,ATR
1825.64,1842.8,1845.36,1819.72,164208,1828.899395440747,1836.552000050866,1814.792834348109,1778.407999999999,1765.78476190476,20.90468533484636,66.21071411490502,1856.630485878044,1751.392371264815,96.16485668918142,62.15503989459032,43.54443626533364,25.25749999999998
1815.54,1826.1,1828.65,1808.7,168778,1818.781363466233,1826.391631522288,1804.752844192922,1777.991999999999,1763.361904761902,19.58720870391517,62.53566972353927,1848.708075916723,1750.50049551185,65.71482962115712,67.12399245412448,44.00022458077199,24.78916666666665
1836.64,1815.3,1843.53,1813.11,165393,1839.919034224871,1847.617747953278,1825.727477091382,1775.751999999999,1760.369047619045,19.32108822292412,59.91773746047832,1844.167858282467,1747.912141717535,47.49108060711016,77.40226867910386,47.28143075307032,24.15749999999997
1835.14,1836.9,1841.63,1818.01,168546,1838.416356208854,1846.108782330222,1824.236389444572,1777.291999999999,1757.448095238093,19.80002407121674,68.85303059891422,1841.039636358805,1746.490363641197,122.8835248657401,86.36323658751111,49.23268392578365,22.83666666666663
1833.3,1835.4,1845.27,1829.91,172271,1836.573071175873,1844.257784499273,1822.407321931152,1779.633999999999,1753.299523809521,17.92404729472878,68.55060502140424,1831.452311921128,1749.853402364588,163.6061946902385,87.06496519721588,50.12962285667973,23.03083333333329
1814.39,1830.4,1843.17,1812.68,155593,1817.62931032062,1825.234757877945,1803.609676997034,1782.079999999999,1749.98714285714,15.42163261208816,67.57615099922197,1819.278488426248,1753.894368716611,226.72157549418,83.18928510102462,46.40960544953764,23.45249999999997
1786.49,1814.5,1818.62,1781.89,170143,1789.679499222705,1797.1679972891,1775.875446766369,1782.509999999998,1747.858571428569,12.51241776097822,64.31081294401091,1805.114869243139,1759.536559328291,237.2223999999387,73.52941176470597,42.32831629433867,22.8083333333333
1778.02,1786.4,1787.86,1770.29,150472,1781.19437735893,1788.647371404242,1767.455771854048,1780.439999999998,1745.271904761903,10.2361120017656,57.24474917804466,1793.890132316612,1765.155581969104,68.07739407294196,69.79428391959806,39.17890605660514,21.14583333333331
1792.54,1778.4,1798.88,1770.79,157603,1795.740300553974,1803.254158635426,1781.889500275169,1780.251999999998,1743.257619047617,10.04292011270877,54.88330801325822,1793.906873446395,1761.841697982178,-10.4157675155059,60.00845308537627,38.46321131996808,21.63249999999999
1768,1792.3,1797.81,1765.73,165810,1771.156488211937,1778.567481042227,1757.495306373358,1776.225999999998,1740.549523809522,10.46480362721854,60.25241773781801,1801.681556048803,1748.018443951199,147.0376190035537,55.842013888889,37.30006000890043,21.38583333333332
1771.85,1768.5,1773.55,1764.16,153118,1775.01336178638,1782.440492808071,1761.322431333503,1764.771999999998,1737.942380952379,9.435792351160671,52.93141407920682,1800.497456500025,1742.436829214262,-94.76803497695541,43.02667893284265,36.10747112989493,21.65249999999999
1781.68,1771.74,1789.82,1756.07,151123,1784.860911718011,1792.3292475245,1771.094025712265,1758.065999999998,1736.319047619046,10.40842461552074,54.1932071261821,1804.235434136332,1733.54456586367,-16.23629946129576,39.88946064417751,38.52547682314295,22.26333333333334
1775.67,1781.1,1782.45,1762.43,153480,1778.840181800503,1786.283325261454,1765.119734540713,1750.399999999998,1734.65476190476,11.16857089307837,57.895452883902,1804.511372313054,1729.202913401233,52.48965549303519,43.59152828875382,41.31548339227528,21.56333333333333
1780.81,1776.32,1786,1773.63,150563,1783.989358468721,1791.454047463127,1770.229194877115,1744.003999999998,1733.203333333332,11.02332383798876,56.48577794421177,1802.223376679563,1727.776623320438,37.03624733474194,37.66762689977143,45.85552089670217,21.35666666666667
1775.8,1781.1,1783.37,1768.8,149165,1778.970413895225,1786.414102282119,1765.24896213677,1742.359999999998,1731.67095238095,11.16428743184906,58.29820474947824,1801.461262269005,1722.910166302425,62.14615298643349,49.3949595123283,45.67884821817646,22.50083333333335
1783.31,1776.2,1795.78,1769.83,149039,1786.493821828749,1793.96899016822,1772.714340955132,1742.531999999999,1731.43095238095,10.6951276926402,56.98439993835979,1798.423277808948,1720.436722191054,52.99926308031229,68.82230365739748,46.41823413596314,23.41583333333335
1793.54,1783.45,1797.67,1777.25,153318,1796.742085897985,1804.260135717464,1782.883558706376,1742.047999999998,1730.562380952379,10.4396528590662,59.56254025860898,1796.973454358383,1714.932259927333,88.97742363876601,79.95415969770183,46.52393581213357,22.39000000000003
1778.4,1793.33,1798.79,1776.03,149564,1781.575055789654,1789.029642695417,1767.833514057907,1741.067999999999,1730.067142857141,9.223542757172481,63.17965315096423,1792.193579361969,1711.997849209461,147.7548258246428,80.77024950998569,43.56272294800968,22.21750000000001
1770.42,1778.47,1780.23,1763.45,152518,1773.580808744444,1781.001945580758,1759.900927776878,1738.301999999999,1729.240476190474,6.531219787014834,59.76737519353096,1785.27812466187,1706.60330390956,123.8743068391687,78.27939590075512,40.14593887402057,21.37500000000002
1776.11,1770.75,1790.03,1766.62,144711,1779.280967351868,1786.725955177551,1765.557120250444,1728.713999999999,1727.355714285712,4.512855271838816,57.88454193277128,1785.49405550106,1692.980230213227,123.6309650052769,79.94361659283116,38.40249474609135,22.03916666666669
1763.09,1775.26,1784.69,1759.56,148442,1766.237722172841,1773.628133569423,1752.614479476133,1718.253999999998,1724.789047619045,2.657083032150922,59.39232328139146,1779.769487509291,1690.246226776424,176.1120795403033,73.27289338674522,34.25809964149377,23.20000000000001
