OPEN,CLOSE,HIGH,LOW,VOLUME,QPL,QPL+,QPL-,MA5,MA21,MACD,RSI,BBup,BBlow,CCI,Stoch,ADX,ATR
2230.94,2196.81,2244.36,2190.24,12919,2239.424673520054,2259.22373454029,2203.01035594987,2338.036000000001,2269.096190476187,25.41243077088393,41.44676807163649,2403.262526557294,2222.141759156994,-204.8090092832177,18.03911477097275,25.78168039339692,58.39583333333337
2235.6,2266.34,2276.9,2231.42,12397,2244.102396353748,2263.942813763827,2207.612016352537,2327.096000000001,2255.20952380952,36.89175698346571,49.9905777256855,2390.392065960184,2242.453648325532,-131.0284447235979,44.03887113951009,24.13280900860067,54.41
2325.45,2289.12,2325.45,2281.99,10967,2334.29411236394,2354.931927118936,2296.337163815981,2299.122000000001,2238.748571428568,43.92752597503841,53.33540172717404,2389.57014393411,2244.339856065892,-92.72935540977167,57.4235448865504,23.58012041795585,54.09666666666669
2358.71,2348.37,2367.54,2342.5,10874,2367.680606237051,2388.613595568473,2329.180774329438,2282.684000000001,2223.85952380952,49.94936165555373,63.61552104333106,2390.419651634991,2241.52034836501,56.61264061574531,58.53915927535864,25.61787843571947,52.58083333333335
2305.17,2332.56,2333.24,2289.92,10093,2313.936983808718,2334.394818395045,2276.311053737421,2280.208000000001,2211.184761904758,50.87615030005827,61.79074316480774,2385.096360735992,2238.162210692581,34.24920586492971,42.36435581587709,27.32832678272186,52.58916666666668
2321.43,2312.55,2331.51,2304.82,10050,2330.25882356749,2350.860961780176,2292.367491108101,2276.426000000001,2197.983809523806,52.92879834740688,59.39755662166937,2382.064929496638,2233.620784789078,1.397882076773969,36.00350794635408,29.18475864113586,52.39583333333337
2313.75,2304.89,2320.5,2253.5,12550,2322.549615120543,2343.083595162845,2284.783638770658,2273.034000000001,2185.290476190472,56.81623206096992,58.47299563771806,2381.004553131124,2230.204018297449,-9.974986479181819,38.16410608531452,32.86958174912906,52.66666666666671
2360.21,2340.5,2378.94,2332.5,9857,2369.186311011845,2390.132612485921,2330.661995489095,2279.496000000001,2175.284761904757,61.73152044357585,64.84731653260063,2383.688616098388,2218.165669615899,63.79695957991166,55.79261695590074,34.85051644667819,47.16416666666669
2363.6,2351.21,2378.64,2343.1,10651,2372.589203802881,2393.565590719352,2334.00955530992,2272.620000000002,2163.567142857139,63.48155731819543,66.8835651742493,2377.924256095617,2211.110029618671,101.23794268203,62.77648543153406,38.79119581740449,47.76583333333338
2384.35,2388.77,2400.61,2370.97,11556,2393.418119854205,2414.578658077376,2354.499781351839,2267.706000000001,2151.547142857139,63.70139991353562,74.50185155030165,2368.460897971393,2204.060530600037,219.1345490766906,67.29462423467665,41.88492850114062,46.43416666666671
2392.09,2355.98,2428.26,2350.68,12054,2401.187556492144,2422.416785371406,2362.142882535669,2257.310000000001,2138.742380952377,59.23114228193708,71.90795675808648,2337.161707379544,2217.292578334743,237.6589854355219,66.1564152518787,40.87955712180008,44.78833333333338
2312.5,2287.71,2313.91,2282.62,9591,2321.294861141547,2341.817747731639,2283.549287804277,2253.860000000001,2129.137142857139,56.00254228986842,65.03032121991804,2312.162378256321,2227.046193172253,55.96316737006304,76.20574653668565,39.71951322256099,36.22250000000005
2299.83,2306.51,2321.77,2293.5,9045,2308.576674810449,2328.987118168932,2271.037906409043,2247.470000000002,2119.521428571424,58.01821950304839,69.37333988810732,2310.8438303872,2220.560455327088,131.1818513363621,65.59397788755606,41.03908373995914,36.3141666666667
2263.72,2296.51,2302.84,2257.4,10542,2272.329341865229,2292.419317576244,2235.379975692237,2246.204000000002,2110.497142857139,57.83287340782636,68.32861903232011,2307.692088050572,2209.089340520859,121.2669683257859,54.75374732334053,39.70387914111029,36.75583333333338
2270.03,2248.9,2285.69,2237.5,12014,2278.663339951199,2298.809315408974,2241.610979370527,2236.882000000001,2100.817142857139,57.77328077853872,62.70425517677282,2301.72503761446,2203.42639095697,-42.74886970818586,45.34969844460893,40.55817169241584,35.34583333333338
2269.08,2273.79,2277,2241.92,10706,2277.709726927162,2297.847271361257,2240.672872636077,2232.778000000001,2094.144761904758,61.7044439203778,68.61984678337978,2324.765572408997,2163.152999019576,57.48686868686381,66.63912414790312,43.0229723517509,33.5016666666667
2289.51,2275.33,2294.5,2253.5,11990,2298.217425959864,2318.536281776893,2260.847104830604,2205.972000000001,2083.243333333329,63.29026387348358,68.99380441847853,2351.34203324146,2105.976538187113,74.27078075180121,74.7262460103117,46.76456784770758,38.6491666666667
2271.06,2287.6,2300.44,2270.5,10528,2279.697257229891,2299.852373692288,2242.628084566824,2168.038000000001,2073.093333333329,64.23696113910546,71.89244990226361,2364.277314755375,2059.864113816055,109.4833193723622,81.32147395171529,48.52864641906205,41.02083333333337
2286.63,2279.55,2288.47,2267.5,9033,2295.326472792258,2315.619769295393,2258.003160204063,2130.040000000001,2062.199999999996,63.26162621429467,71.15414620791616,2363.311162335969,2025.931694806891,87.67763810176517,70.63124406987767,46.82750312754092,41.88583333333336
2253.6,2281.21,2293.07,2248.69,10376,2262.170853651282,2282.171016773198,2225.386670268419,2097.872000000001,2056.900476190472,61.91621143805514,71.51383727678841,2359.484392428863,1992.899893285425,87.7450317086586,67.57665094339616,45.96197103742363,42.24416666666671
2261.06,2239.41,2262.57,2232.88,6236,2269.659225397927,2289.725594242637,2232.753276835779,2059.160000000001,2048.105238095234,59.12935532092024,67.69548315814011,2346.122264008807,1970.27345027691,52.86319305675546,56.09236234458243,44.96328016421137,41.41333333333336
